STUDENTID,V1,VH098810,VH098519,VH098808,VH139047,VH098759,VH098740,VH134366,VH098753,VH134387,VH098783,BlockRev,VH098812,VH139196,VH134373,VH098839,VH098597,VH098556,VH098522,VH098779,VH098834,Average,Total,Label
2333000033,7,22,45,135,182,51,66,127,96,76,54,20,180,98,103,71,69,13,98,59,52,77.33,27.07,TRUE
2333000882,8,17,57,32,34,135,70,168,79,41,23,2,104,63,70,55,49,24,30,23,45,53.76,18.82,TRUE
2333000955,9,16,54,53,67,84,82,119,35,80,85,20,52,71,115,77,43,28,47,25,159,62.90,22.02,TRUE
2333001552,19,18,29,82,56,57,59,165,117,86,185,5,87,159,192,27,25,17,88,51,27,73.86,25.85,TRUE
2333001935,13,18,69,94,76,40,34,173,72,40,94,29,73,85,151,73,49,30,140,26,42,67.67,23.68,TRUE
2333001986,9,23,172,62,104,288,47,78,174,177,44,,89,128,269,52,,,,,,114.40,28.60,TRUE
2333002087,12,16,104,44,63,73,33,140,51,20,63,7,67,67,125,43,126,59,115,31,38,61.76,21.62,FALSE
2333002141,8,57,80,102,278,181,58,139,235,89,34,,81,104,112,51,74,,,,,105.19,28.05,TRUE
2333002494,5,47,154,81,535,65,15,223,125,128,32,,124,236,,,,,,,,136.15,29.50,FALSE
2333002672,11,25,67,137,35,110,56,127,146,188,68,,85,127,189,57,40,14,35,14,58,79.45,26.48,TRUE
2333002923,12,21,76,79,89,131,42,135,127,45,51,3,53,144,112,73,67,14,38,21,144,70.33,24.62,TRUE
2333003024,10,21,32,90,196,71,102,224,171,16,114,3,89,106,36,72,69,21,37,18,38,73.14,25.60,TRUE
2333003181,4,19,59,55,207,103,66,266,102,82,43,1,67,82,43,83,49,22,35,21,104,72.05,25.22,FALSE
2333003245,7,29,46,71,92,88,36,140,60,25,62,5,97,91,5,75,73,18,70,63,29,56.29,19.70,TRUE
2333003695,12,17,45,112,246,195,66,270,102,59,123,6,98,75,48,25,63,27,77,16,20,81.05,28.37,FALSE
2333003776,11,23,77,,,,3,283,67,24,55,7,24,39,90,57,78,15,16,49,11,51.61,15.48,TRUE
2333003971,18,35,44,76,41,36,56,94,53,39,137,19,71,128,62,88,56,39,36,50,46,58.29,20.40,TRUE
2333004276,10,29,137,48,186,111,37,126,84,149,89,,178,177,272,,,,,,,116.64,27.22,TRUE
2333004381,5,24,22,56,151,22,23,303,45,45,81,2,33,36,69,46,26,22,31,20,37,52.33,18.32,FALSE
2333004578,4,25,179,131,319,57,72,283,88,52,38,,9,61,42,51,,,,,,94.07,23.52,TRUE
2333004721,9,17,51,52,265,76,24,131,87,22,22,17,2,50,73,26,72,20,109,37,109,60.52,21.18,FALSE
2333005566,8,15,25,41,149,105,85,171,109,33,163,4,155,61,71,40,95,18,84,76,55,74.43,26.05,TRUE
2333005825,4,7,141,107,57,111,48,141,45,23,25,2,26,116,80,4,18,23,85,130,41,58.76,20.57,FALSE
2333006503,18,28,35,46,246,60,74,166,149,42,118,14,74,164,194,108,49,14,20,19,99,82.71,28.95,TRUE
2333008034,15,38,31,130,89,55,37,113,70,39,430,6,159,139,64,56,32,34,19,55,50,79.10,27.68,TRUE
2333008239,6,14,25,35,129,8,38,102,70,37,96,4,48,80,77,39,36,11,35,47,5,44.86,15.70,TRUE
2333008468,7,9,33,72,111,106,138,58,48,147,30,6,72,101,99,116,59,12,99,63,68,69.24,24.23,TRUE
2333008484,6,19,73,18,42,112,32,82,23,25,18,4,32,58,77,29,82,14,30,38,24,39.90,13.97,FALSE
2333008492,7,29,32,96,185,144,53,112,74,53,26,8,58,157,263,65,66,33,45,36,98,78.10,27.33,TRUE
2333008565,5,25,69,123,67,134,44,106,123,85,152,11,180,149,62,40,28,32,37,13,36,72.43,25.35,TRUE
2333008646,9,18,74,44,42,74,36,134,121,51,216,,215,106,175,73,101,24,,,,89.00,25.22,TRUE
2333008719,9,34,36,92,162,148,49,92,140,90,172,,170,49,83,34,149,31,41,79,112,88.60,29.53,TRUE
2333008816,2,27,96,92,42,144,15,77,60,58,61,1,62,161,250,115,19,15,87,27,32,68.71,24.05,FALSE
2333008905,12,39,172,105,99,99,75,167,106,58,173,19,63,140,35,75,51,29,127,32,48,82.10,28.73,TRUE
2333009154,10,18,50,61,125,101,24,96,87,267,72,9,37,137,19,50,68,79,65,29,17,67.67,23.68,TRUE
2333009821,7,34,45,73,102,122,94,93,56,112,96,,142,114,109,97,62,20,149,26,120,83.65,27.88,FALSE
2333010772,7,15,113,100,108,123,43,47,147,36,27,2,65,77,14,67,5,4,41,36,7,51.62,18.07,FALSE
2333011710,21,11,64,100,139,66,82,111,43,24,60,15,79,68,131,60,72,2,13,6,3,55.71,19.50,FALSE
2333012457,26,55,99,70,91,350,62,174,250,104,121,,68,210,38,,,,,,,122.71,28.63,FALSE
2333013585,4,25,57,36,331,213,135,159,104,156,146,,135,57,117,34,3,,,,,107.00,28.53,FALSE
2333013909,9,32,223,69,25,193,49,92,49,237,56,3,36,110,59,45,52,37,53,15,69,72.05,25.22,TRUE
2333014344,6,29,46,101,74,144,134,58,123,61,134,9,75,82,377,32,34,15,13,21,40,76.57,26.80,FALSE
2333014689,5,12,46,175,61,43,44,144,64,79,47,6,168,147,331,47,32,45,88,25,67,79.81,27.93,TRUE
2333014948,12,43,43,341,202,38,43,74,139,84,132,8,82,102,87,34,33,28,44,73,33,79.76,27.92,TRUE
2333015006,11,15,39,63,65,97,66,64,114,55,67,2,96,220,126,80,61,14,123,12,73,69.67,24.38,TRUE
2333015707,24,64,116,134,312,65,85,123,346,153,199,,146,,,,,,,,,147.25,29.45,TRUE
2333015880,2,23,101,75,42,38,38,167,56,36,57,4,65,85,175,32,97,47,38,47,95,62.86,22.00,TRUE
2333016134,9,41,56,79,93,150,95,79,63,44,99,9,66,106,48,124,55,34,264,36,118,79.43,27.80,TRUE
